word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust
#&lt	0.0	0.315665498161	0.0	0.0	1.0196611229	0.0	0.0	0.0	0.336629519649	0.0
#1	0.0	0.0482216879502	0.0	0.168162305985	0.173183438899	0.0	0.0	0.0	0.0242343215761	0.258709005048
#100thingsaboutme	0.485453806109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
#100thingsthatmakemehappy	0.0	0.0	0.0	0.0	1.60866804421	0.0	0.0	0.0	0.0	0.0
#121212concert	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.792105048332	0.0
#18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48525222889	0.0
#1d	0.0	0.0	0.391938437519	0.0	0.0	0.0	0.0	0.0	0.747653285761	0.0
#2	0.0	0.584555071263	0.0	0.181247545534	0.515360807771	0.0	0.0	0.0	0.0	0.0
#20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866213020486	0.0
#2012	0.0	0.117214559437	0.0	0.604879957597	0.964311027819	0.0	0.0	0.100318564649	0.0	0.0
#2012taughtme	0.0	0.0	0.0	0.0	0.627838791198	0.0	0.0	0.0	0.0	1.30283310843
#2013	0.0	0.603347570613	0.0	0.0	1.22730048768	0.0	0.0	0.0	0.0	0.361849763968
#20thingsidontlike	0.0	0.0	1.20760575402	0.0	0.0	0.0	0.0	0.0	0.0	0.0
#21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.792105048332	0.0
#3	0.0436210538302	0.717652341893	0.0	0.277977171992	0.0	0.0	0.0	0.0	0.0	0.0
#30factsaboutme	0.0	0.0	0.981901381844	0.0	0.0	0.0	0.0	0.0	0.0	0.0
#30rock	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81511699274	0.0	0.0
#4	0.290481131762	0.964512419824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
#49ers	0.0	0.949623807331	0.0	0.530567924633	0.0	0.0	0.0	0.0	0.0638665479607	0.0
#4pics1word	1.02445030684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
#5	0.0436210538302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
#5days	0.0	0.0	0.0	1.258806425	0.0	0.0	0.0	0.0	0.0	0.0
