word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust
TRUE	0.0	0.0	0.0	0.0	0.328	0.0	0.0	0.0	0.0	0.0
aaaaaaah	0.0	0.0	0.0	0.344	0.0	0.0	0.0	0.0	0.0	0.0
aaaah	0.0	0.0	0.0	0.234	0.0	0.0	0.0	0.0	0.0	0.0
abandon	0.0	0.0	0.0	0.531	0.0	0.0	0.0	0.703	0.0	0.0
abandoned	0.222	0.0	0.0	0.534	0.0	0.0	0.0	0.828	0.0	0.0
abandonment	0.438	0.0	0.0	0.609	0.0	0.0	0.0	0.859	0.0	0.0
abduction	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.75	0.0	0.0
abhor	0.816	0.0	0.0	0.547	0.0	0.0	0.0	0.0	0.0	0.0
abhorrent	0.875	0.0	0.0	0.672	0.0	0.0	0.0	0.0	0.0	0.0
abolish	0.485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abominable	0.0	0.0	0.0	0.738	0.0	0.0	0.0	0.0	0.0	0.0
abomination	0.844	0.0	0.0	0.844	0.0	0.0	0.0	0.0	0.0	0.0
abortion	0.0	0.0	0.0	0.641	0.0	0.0	0.0	0.766	0.0	0.0
abortive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.672	0.0	0.0
abscess	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.438	0.0	0.0
absence	0.0	0.0	0.0	0.396	0.0	0.0	0.0	0.547	0.0	0.0
absent	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.438	0.0	0.0
absentee	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.348	0.0	0.0
absolution	0.0	0.0	0.0	0.0	0.306	0.0	0.0	0.0	0.0	0.0
abundance	0.0	0.0	0.0	0.0	0.652	0.0	0.0	0.0	0.0	0.0
abundant	0.0	0.0	0.0	0.0	0.516	0.0	0.0	0.0	0.0	0.0
abuse	0.812	0.0	0.0	0.672	0.0	0.0	0.0	0.625	0.0	0.0
abysmal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.742	0.0	0.0
abyss	0.0	0.0	0.0	0.578	0.0	0.0	0.0	0.594	0.0	0.0
acceptances	0.0	0.0	0.0	0.203	0.0	0.0	0.0	0.0	0.0	0.0
accident	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.516	0.0	0.0
accidental	0.0	0.0	0.0	0.438	0.0	0.0	0.0	0.0	0.0	0.0
accolade	0.0	0.0	0.0	0.0	0.586	0.0	0.0	0.0	0.0	0.0
accompaniment	0.0	0.0	0.0	0.0	0.179	0.0	0.0	0.0	0.0	0.0
accomplish	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
accomplished	0.0	0.0	0.0	0.0	0.672	0.0	0.0	0.0	0.0	0.0
accomplishment	0.0	0.0	0.0	0.0	0.594	0.0	0.0	0.0	0.0	0.0
accursed	0.588	0.0	0.0	0.594	0.0	0.0	0.0	0.697	0.0	0.0
accusation	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
accused	0.641	0.0	0.0	0.469	0.0	0.0	0.0	0.0	0.0	0.0
accuser	0.47	0.0	0.0	0.438	0.0	0.0	0.0	0.0	0.0	0.0
accusing	0.779	0.0	0.0	0.484	0.0	0.0	0.0	0.0	0.0	0.0
ache	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.531	0.0	0.0
achieve	0.0	0.0	0.0	0.0	0.641	0.0	0.0	0.0	0.0	0.0
achieved	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
achievement	0.0	0.0	0.0	0.0	0.712	0.0	0.0	0.0	0.0	0.0
aching	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.544	0.0	0.0
acrobat	0.0	0.0	0.0	0.266	0.162	0.0	0.0	0.0	0.0	0.0
actionable	0.394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
adder	0.212	0.0	0.0	0.547	0.0	0.0	0.0	0.361	0.0	0.0
adjudicate	0.0	0.0	0.0	0.297	0.0	0.0	0.0	0.0	0.0	0.0
admirable	0.0	0.0	0.0	0.0	0.562	0.0	0.0	0.0	0.0	0.0
admiration	0.0	0.0	0.0	0.0	0.734	0.0	0.0	0.0	0.0	0.0
admonition	0.0	0.0	0.0	0.469	0.0	0.0	0.0	0.0	0.0	0.0
adorable	0.0	0.0	0.0	0.0	0.609	0.0	0.0	0.0	0.0	0.0
adoration	0.0	0.0	0.0	0.0	0.688	0.0	0.0	0.0	0.0	0.0
adore	0.0	0.0	0.0	0.0	0.667	0.0	0.0	0.0	0.0	0.0
adrift	0.0	0.0	0.0	0.328	0.0	0.0	0.0	0.328	0.0	0.0
adultery	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.566	0.0	0.0
advance	0.0	0.0	0.0	0.188	0.375	0.0	0.0	0.0	0.0	0.0
advent	0.0	0.0	0.0	0.0	0.152	0.0	0.0	0.0	0.0	0.0
adventure	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0
adventures	0.0	0.0	0.0	0.0	0.391	0.0	0.0	0.0	0.0	0.0
adversary	0.545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
adverse	0.609	0.0	0.0	0.352	0.0	0.0	0.0	0.281	0.0	0.0
adversity	0.47	0.0	0.0	0.418	0.0	0.0	0.0	0.484	0.0	0.0
adverts	0.197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
advocacy	0.1	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0
aesthetics	0.0	0.0	0.0	0.0	0.455	0.0	0.0	0.0	0.0	0.0
affection	0.0	0.0	0.0	0.0	0.647	0.0	0.0	0.0	0.0	0.0
afflict	0.0	0.0	0.0	0.562	0.0	0.0	0.0	0.789	0.0	0.0
affliction	0.0	0.0	0.0	0.557	0.103	0.0	0.0	0.645	0.0	0.0
affluence	0.0	0.0	0.0	0.0	0.391	0.0	0.0	0.0	0.0	0.0
affront	0.403	0.0	0.0	0.266	0.0	0.0	0.0	0.359	0.0	0.0
afraid	0.0	0.0	0.0	0.844	0.0	0.0	0.0	0.0	0.0	0.0
aftermath	0.359	0.0	0.0	0.469	0.0	0.0	0.0	0.5	0.0	0.0
aga	0.0	0.0	0.0	0.219	0.0	0.0	0.0	0.0	0.0	0.0
aggravated	0.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aggravates	0.719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aggravating	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0
aggravation	0.672	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aggression	0.702	0.0	0.0	0.609	0.0	0.0	0.0	0.0	0.0	0.0
aggressive	0.667	0.0	0.0	0.703	0.0	0.0	0.0	0.0	0.0	0.0
aggressively	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aggressor	0.656	0.0	0.0	0.812	0.0	0.0	0.0	0.0	0.0	0.0
agh	0.281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aghast	0.0	0.0	0.0	0.641	0.0	0.0	0.0	0.0	0.0	0.0
aghhh	0.0	0.0	0.0	0.438	0.0	0.0	0.0	0.0	0.0	0.0
agitated	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
agitation	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
agonizing	0.0	0.0	0.0	0.703	0.0	0.0	0.0	0.0	0.0	0.0
agony	0.465	0.0	0.0	0.75	0.0	0.0	0.0	0.9	0.0	0.0
