afap,as far as possible
aab,average at best
aak,alive and kicking
aamof,as a matter of fact
aap,always a pleasure
aar,at any rate
aayf,as always, your friend
abd,already been done
admin,administrator
adn,any day now
aeae,and ever and ever
aeap,as early as possible
afaiac,as far as i am concerned
afaic,as far as i am concerned
afaics,as far as i can see
afaict,as far as i can tell
afaik,as far as i know
afair,as far as i remember
afc,always from computer
agw,all going well
afd,all fucking day
aft,about fucking time
b4,before
bb,bye bye
bbiab,be back in a bit
bbl,be back later
bbs,be back soon
bd,big deal
brb,be right back
brt,be right there
btw,by the way
cu,see you
cul,see you later
cuz,because
cya,see you
da,the
dat,that
der,there
dunno,do not know
fwiw,for what it is worth
fyi,for your information
g2g,got to go
gtg,got to go
gal,get a life
gfy,good for you
gonna,going to
icydk,in case you do not know
idgi,i do not get it
idk,i do not know
ily,i love you
ilu,i love you
imho,in my honest opinion
imo,in my opinion
irl,in real life
jj,just joking
jk,just kidding
k,okay
kk,ok cool
l8r,later
lmao,laughing my ass off
lmfao,laughing my fucking ass off
lol,laughing out loud
myob,mind your own business
noyb,none of your business
np,no problem
nsfw,not safe for work
nvm,never mind
omg,oh my god
pic,picture
ot,off topic
pix,pictures
plz,please
pls,please
ppl,people
rofl,rolling on the floor laughing
roflmao,rolling on the floor laughing my ass off
roflmaol,rolling on the floor laughing my ass out loud
smh,shaking my head
thnx,thanks
tho,though
tia,thanks in advance
ttyl,talk to you later
ttyt,talk to you tomorrow
ty,thank you
u,you
w8,wait
wanna,want to
wb,welcome back
wd,well done
im,i am
you've,you have
how'd,how did
i'm,i am
n't,not
we're,we are
you're,you are
